vid_id,elapsed_time_ratio,audience_watch_ratio,relative_retention_performance,year
fS8JmmjCg4Y,0.01,0.9535,0.6599,2020
fS8JmmjCg4Y,0.02,0.8527,0.75975,2020
fS8JmmjCg4Y,0.03,0.7674,0.8229,2020
fS8JmmjCg4Y,0.04,0.7054,0.83805,2020
fS8JmmjCg4Y,0.05,0.6899,0.84205,2020
fS8JmmjCg4Y,0.06,0.6667,0.85255,2020
fS8JmmjCg4Y,0.07,0.6589,0.86885,2020
fS8JmmjCg4Y,0.08,0.6899,0.88445,2020
fS8JmmjCg4Y,0.09,0.6744,0.897,2020
fS8JmmjCg4Y,0.1,0.6434,0.9078,2020
fS8JmmjCg4Y,0.11,0.6667,0.918,2020
fS8JmmjCg4Y,0.12,0.6589,0.9274,2020
fS8JmmjCg4Y,0.13,0.6357,0.9353,2020
fS8JmmjCg4Y,0.14,0.6899,0.93975,2020
fS8JmmjCg4Y,0.15,0.7054,0.93965,2020
fS8JmmjCg4Y,0.16,0.7209,0.93695,2020
fS8JmmjCg4Y,0.17,0.8062,0.9334,2020
fS8JmmjCg4Y,0.18,0.8295,0.9293,2020
fS8JmmjCg4Y,0.19,0.7364,0.92475,2020
fS8JmmjCg4Y,0.2,0.7054,0.91975,2020
fS8JmmjCg4Y,0.21,0.6899,0.91465,2020
fS8JmmjCg4Y,0.22,0.7054,0.91005,2020
fS8JmmjCg4Y,0.23,0.6822,0.906,2020
fS8JmmjCg4Y,0.24,0.7132,0.90275,2020
fS8JmmjCg4Y,0.25,0.7209,0.9003,2020
fS8JmmjCg4Y,0.26,0.7519,0.89875,2020
fS8JmmjCg4Y,0.27,0.6744,0.8981,2020
fS8JmmjCg4Y,0.28,0.6512,0.89835,2020
fS8JmmjCg4Y,0.29,0.6357,0.89915,2020
fS8JmmjCg4Y,0.3,0.6744,0.90005,2020
fS8JmmjCg4Y,0.31,0.6357,0.901,2020
fS8JmmjCg4Y,0.32,0.6357,0.9017,2020
fS8JmmjCg4Y,0.33,0.6512,0.9006,2020
fS8JmmjCg4Y,0.34,0.6279,0.89595,2020
fS8JmmjCg4Y,0.35,0.61240000000000006,0.8895,2020
fS8JmmjCg4Y,0.36,0.5969,0.8868,2020
fS8JmmjCg4Y,0.37,0.6047,0.8887,2020
fS8JmmjCg4Y,0.38,0.6279,0.89,2020
fS8JmmjCg4Y,0.39,0.6589,0.88725,2020
fS8JmmjCg4Y,0.4,0.7364,0.88175,2020
fS8JmmjCg4Y,0.41,0.6822,0.87515,2020
fS8JmmjCg4Y,0.42,0.6589,0.8681,2020
fS8JmmjCg4Y,0.43,0.6512,0.8613,2020
fS8JmmjCg4Y,0.44,0.6512,0.85555,2020
fS8JmmjCg4Y,0.45,0.6357,0.8513,2020
fS8JmmjCg4Y,0.46,0.6047,0.84745,2020
fS8JmmjCg4Y,0.47,0.5736,0.8424,2020
fS8JmmjCg4Y,0.48,0.61240000000000006,0.8357,2020
fS8JmmjCg4Y,0.49,0.5581,0.82795,2020
fS8JmmjCg4Y,0.5,0.5504,0.82275,2020
fS8JmmjCg4Y,0.51,0.5426,0.8261,2020
fS8JmmjCg4Y,0.52,0.5116,0.84055,2020
fS8JmmjCg4Y,0.53,0.5426,0.86225,2020
fS8JmmjCg4Y,0.54,0.5504,0.8856,2020
fS8JmmjCg4Y,0.55,0.5349,0.90745,2020
fS8JmmjCg4Y,0.56,0.5581,0.92545,2020
fS8JmmjCg4Y,0.57,0.6279,0.93705,2020
fS8JmmjCg4Y,0.58,0.6589,0.9431,2020
fS8JmmjCg4Y,0.59,0.6279,0.9464,2020
fS8JmmjCg4Y,0.6,0.5969,0.9484,2020
fS8JmmjCg4Y,0.61,0.5969,0.94925,2020
fS8JmmjCg4Y,0.62,0.6434,0.94915,2020
fS8JmmjCg4Y,0.63,0.7209,0.94825,2020
fS8JmmjCg4Y,0.64,0.7597,0.9466,2020
fS8JmmjCg4Y,0.65,0.7054,0.94445,2020
fS8JmmjCg4Y,0.66,0.7054,0.942,2020
fS8JmmjCg4Y,0.67,0.6822,0.93895,2020
fS8JmmjCg4Y,0.68,0.6667,0.9355,2020
fS8JmmjCg4Y,0.69,0.6434,0.9319,2020
fS8JmmjCg4Y,0.7,0.6357,0.928,2020
fS8JmmjCg4Y,0.71,0.6744,0.9232,2020
fS8JmmjCg4Y,0.72,0.7519,0.91715,2020
fS8JmmjCg4Y,0.73,0.7442,0.9102,2020
fS8JmmjCg4Y,0.74,0.6589,0.90205,2020
fS8JmmjCg4Y,0.75,0.6279,0.89115,2020
fS8JmmjCg4Y,0.76,0.5969,0.87895,2020
fS8JmmjCg4Y,0.77,0.6047,0.8692,2020
fS8JmmjCg4Y,0.78,0.6512,0.8594,2020
fS8JmmjCg4Y,0.79,0.7519,0.8472,2020
fS8JmmjCg4Y,0.8,0.7287,0.83355,2020
fS8JmmjCg4Y,0.81,0.6512,0.81905,2020
fS8JmmjCg4Y,0.82,0.6357,0.803,2020
fS8JmmjCg4Y,0.83,0.6512,0.785,2020
fS8JmmjCg4Y,0.84,0.5891,0.7682,2020
fS8JmmjCg4Y,0.85,0.6047,0.75655,2020
fS8JmmjCg4Y,0.86,0.61240000000000006,0.74875,2020
fS8JmmjCg4Y,0.87,0.6202,0.7404,2020
fS8JmmjCg4Y,0.88,0.6589,0.7309,2020
fS8JmmjCg4Y,0.89,0.7054,0.72205,2020
fS8JmmjCg4Y,0.9,0.6202,0.714,2020
fS8JmmjCg4Y,0.91,0.5969,0.70455,2020
fS8JmmjCg4Y,0.92,0.5736,0.692,2020
fS8JmmjCg4Y,0.93,0.5736,0.67955,2020
fS8JmmjCg4Y,0.94,0.5271,0.6725,2020
fS8JmmjCg4Y,0.95,0.5349,0.67195,2020
fS8JmmjCg4Y,0.96,0.5581,0.6742,2020
fS8JmmjCg4Y,0.97,0.5349,0.6739,2020
fS8JmmjCg4Y,0.98,0.5194,0.66805,2020
fS8JmmjCg4Y,0.99,0.4264,0.65705,2020
fS8JmmjCg4Y,1,0.3953,0.64615,2020
BSlzOjW5gsQ,0.01,0.8425,0.5942,2020
BSlzOjW5gsQ,0.02,0.7244,0.74095,2020
BSlzOjW5gsQ,0.03,0.7402,0.8587,2020
BSlzOjW5gsQ,0.04,0.7165,0.91385,2020
BSlzOjW5gsQ,0.05,0.7087,0.93535,2020
BSlzOjW5gsQ,0.06,0.7638,0.94255,2020
BSlzOjW5gsQ,0.07,0.7165,0.94355,2020
BSlzOjW5gsQ,0.08,0.7165,0.9429,2020
BSlzOjW5gsQ,0.09,0.7244,0.9437,2020
BSlzOjW5gsQ,0.1,0.7087,0.94635,2020
BSlzOjW5gsQ,0.11,0.7008,0.94895,2020
BSlzOjW5gsQ,0.12,0.7323,0.9501,2020
BSlzOjW5gsQ,0.13,0.748,0.95025,2020
BSlzOjW5gsQ,0.14,0.8425,0.95025,2020
BSlzOjW5gsQ,0.15,0.8583,0.9502,2020
BSlzOjW5gsQ,0.16,0.8189,0.95,2020
BSlzOjW5gsQ,0.17,0.7165,0.94925,2020
BSlzOjW5gsQ,0.18,0.7323,0.9469,2020
BSlzOjW5gsQ,0.19,0.7717,0.94285,2020
BSlzOjW5gsQ,0.2,0.7638,0.9382,2020
BSlzOjW5gsQ,0.21,0.7087,0.9337,2020
BSlzOjW5gsQ,0.22,0.7008,0.92965,2020
BSlzOjW5gsQ,0.23,0.7008,0.9262,2020
